,,,,2006-07 Season,2006-07 Season,2006-07 Season,2006-07 Season,2006-07 Season,2006-07 Season,,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall
Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
Billy Lange,Navy,Patriot,,14,16,.467,,,,,2004-05,33,53,.384,,,,,,33,53,.384,,,,
Jim Larranaga,George Mason,CAA,,18,15,.545,,,,,1997-98,184,120,.605,3,1,1,,,353,265,.571,3,1,1,
Dale Layer,Colorado State,MWC,,17,13,.567,,,,,2000-01,103,106,.493,1,,,,,103,106,.493,1,,,
Jeff Lebo,Auburn,SEC,,17,15,.531,,,,,2004-05,43,48,.473,,,,,,158,111,.587,,,,
Robert Lee,Louisiana,Sun Belt,,9,21,.300,,,,,2004-05,42,48,.467,1,,,,,42,48,.467,1,,,
Dan Leibovitz,Hartford,AEC,,13,18,.419,,,,,2006-07,13,18,.419,,,,,,13,18,.419,,,,
Dave Leitao,Virginia,ACC,,21,11,.656,,,Lost Second Round,,2005-06,36,26,.581,1,,,,,116,95,.550,2,,,
Jim Les,Bradley,MVC,,22,13,.629,,,,,2002-03,84,73,.535,1,1,,,,84,73,.535,1,1,,
Lawrence Lesett Jr,Maryland-Eastern Shore,MEAC,,4,27,.129,,,,,2004-05,13,75,.148,,,,,,13,75,.148,,,,
Todd Lickliter,Butler,Horizon,,29,7,.806,,21,Lost Regional Semifinal,,2001-02,131,61,.682,2,2,,,,131,61,.682,2,2,,
Mike Lonergan,Vermont,AEC,,25,8,.758,,,,,2005-06,38,25,.603,,,,,,38,25,.603,,,,
Dave Loos,Austin Peay,OVC,,21,12,.636,,,,,1990-91,271,236,.535,2,,,,,271,236,.535,2,,,
Sidney Lowe,NC State,ACC,,20,16,.556,,,,,2006-07,20,16,.556,,,,,,20,16,.556,,,,
Chris Lowery,Southern Illinois,MVC,,29,7,.806,,14,Lost Regional Semifinal,,2004-05,78,26,.750,3,1,,,,78,26,.750,3,1,,
Bart Lundy,High Point,Big South,,22,10,.688,,,,,2003-04,70,52,.574,,,,,,70,52,.574,,,,
Bobby Lutz,Charlotte,A-10,,14,16,.467,,,,,1998-99,168,112,.600,5,,,,,168,112,.600,5,,,
Don Maestri,Troy,Sun Belt,,13,17,.433,,,,,1993-94,210,191,.524,1,,,,,210,191,.524,1,,,
Bob Marlin,Sam Houston,Southland,,21,10,.677,,,,,1998-99,159,103,.607,1,,,,,159,103,.607,1,,,
Gregg Marshall,Winthrop,Big South,,29,5,.853,,22,Lost Second Round,,1998-99,194,83,.700,7,,,,,194,83,.700,7,,,
Phil Martelli,St. Joseph's,A-10,,18,14,.562,,,,,1995-96,240,139,.633,4,2,,,,240,139,.633,4,2,,
